Cymbidium tracyanum	NC_021432
Cymbomonas tetramitiformis	NC_030169
Cymbopogon flexuosus	NC_035040
Cynanchum auriculatum	NC_029460
Cynanchum wilfordii	NC_029459
Cynara baetica	NC_028005
Cynara cornigera	NC_028006
Cynara humilis	NC_027113
Cynodon dactylon	NC_034680
Cypripedium formosanum	NC_026772
Cypripedium japonicum	NC_027227
Cypripedium macranthos	NC_024421
Cyrtomium devexiscapulae	NC_028542
Cyrtomium falcatum	NC_028705
Cytinus hypocistis	NC_031150
Dacrycarpus imbricatus	NC_034942
Dactyladenia bellayana	NC_030555
Dactyladenia buchneri	NC_030556
Dactyladenia floretii	NC_030557
Dactylis glomerata	NC_027473
Daiswa chinensis	NC_033517
Daiswa dunniana	NC_033512
Daiswa forrestii	NC_033513
Daiswa yunnanensis	NC_033518
Danthonia californica	NC_025232
Danthoniopsis dinteri	NC_030502
Dasya binghamiae	NC_031161
Dasya naccarioides	NC_035280
Dasyclonium flaccidum	NC_035287
Dasypogon bromeliifolius	NC_020367
Datura stramonium	NC_018117
Daucus carota	NC_008325
Davidia involucrata	NC_031376
Delissea rhytidosperma	NC_033364
Dendrobium aphyllum	NC_035322
Dendrobium brymerianum	NC_035323
Dendrobium catenatum	NC_024019
Dendrobium chrysanthum	NC_035336
Dendrobium chrysotoxum	NC_028549
Dendrobium crepidatum	NC_035331
Dendrobium denneanum	NC_035324
Dendrobium devonianum	NC_035325
Dendrobium ellipsophyllum	NC_035340
Dendrobium exile	NC_035343
Dendrobium falconeri	NC_035326
Dendrobium fanjingshanense	NC_035344
Dendrobium fimbriatum	NC_035342
Dendrobium gratiosissimum	NC_035327
Dendrobium henryi	NC_035335
Dendrobium hercoglossum	NC_035328
Dendrobium huoshanense	NC_028430
Dendrobium jenkinsii	NC_035337
Dendrobium moniliforme	NC_035154
Dendrobium nobile	NC_029456
Dendrobium parciflorum	NC_035334
Dendrobium parishii	NC_035339
Dendrobium pendulum	NC_029705
Dendrobium primulinum	NC_035321
Dendrobium salaccense	NC_035332
Dendrobium spatella	NC_035333
Dendrobium strongylanthum	NC_027691
Dendrobium wardianum	NC_035329
Dendrobium wilsonii	NC_035330
Dendrobium xichouense	NC_035341
Dendrocalamus latiflorus	NC_013088
Dendropanax dentiger	NC_026546
Dendropanax morbifer	NC_027607
Derbesia sp. WEST4838	NC_031367
Dermonema virens	NC_031655
Deschampsia antarctica	NC_023533
Dialypetalum floribundum	NC_035357
Diandrolyra sp. Clark 1301	NC_026960
Diarrhena obovata	NC_027474
Diastatea micrantha	NC_035358
Dichanthelium acuminatum	NC_030623
Dichanthium sericeum	NC_035018
Dichotomaria marginata	NC_031656
Dichrostachys cinerea	NC_035346
Dicloster acuatus	NC_025546
Dictyomenia sonderi	NC_035297
Didymosphenia geminata	NC_024083
Dieffenbachia seguine	NC_027272
Digenea simplex	NC_035298
Digitalis lanata	NC_034688
Digitaria exilis	NC_024176
Dionaea muscipula	NC_035417
Dioon spinulosum	NC_027512
Dioscorea elephantipes	NC_009601
Dioscorea rotundata	NC_024170
Dioscorea villosa	NC_034686
Dioscorea zingiberensis	NC_027090
Diospyros blancoi	NC_033502
Diospyros glaucifolia	NC_030784
Diospyros kaki	NC_030789
Diospyros lotus	NC_030786
Diospyros oleifera	NC_030787
Diplopanax stachyanthus	NC_029750
Diplopterygium glaucum	NC_024158
Diplostephium alveolatum	NC_034847
Diplostephium antioquense	NC_034876
Diplostephium apiculatum	NC_034902
Diplostephium azureum	NC_034882
Diplostephium barclayanum	NC_034853
Diplostephium cajamarquillense	NC_034872
Diplostephium callilepis	NC_034856
Diplostephium camargoanum	NC_034897
Diplostephium cayambense	NC_034886
Diplostephium cinerascens	NC_034850
Diplostephium cinereum	NC_034869
Diplostephium colombianum	NC_034861
Diplostephium coriaceum	NC_034899
Diplostephium costaricense	NC_034879
Diplostephium crypteriophyllum	NC_034881
Diplostephium empetrifolium	NC_034891
Diplostephium ericoides	NC_034870
Diplostephium eriophorum	NC_034874
Diplostephium espinosae	NC_034880
Diplostephium floribundum	NC_034857
Diplostephium foliosissimum	NC_034883
Diplostephium frontinense	NC_034893
Diplostephium glandulosum	NC_034854
Diplostephium glutinosum	NC_034875
Diplostephium gnidioides	NC_034867
Diplostephium goodspeedii	NC_034901
Diplostephium gynoxyoides	NC_034862
Diplostephium haenkei	NC_034871
Diplostephium hartwegii	NC_034832
Diplostephium heterophyllum	NC_034896
Diplostephium hippophae	NC_034831
Diplostephium huertasii	NC_034812
Diplostephium inesianum	NC_034895
Diplostephium jaramilloi	NC_034894
Diplostephium jelskii	NC_034811
Diplostephium jenesanum	NC_034829
Diplostephium juajibioyi	NC_034822
Diplostephium juniperinum	NC_034813
Diplostephium lacunosum	NC_034878
Diplostephium lechleri	NC_034816
Diplostephium meyenii	NC_034824
Diplostephium mutiscuanum	NC_034827
Diplostephium oblanceolatum	NC_034830
Diplostephium oblongifolium	NC_034818
Diplostephium obtusum	NC_034814
Diplostephium ochraceum	NC_034903
Diplostephium oxapampanum	NC_034815
Diplostephium phylicoides	NC_034873
Diplostephium pulchrum	NC_034810
Diplostephium rhododendroides	NC_034820
Diplostephium rhomboidale	NC_034859
Diplostephium romeroi	NC_034885
Diplostephium rosmarinifolium	NC_034900
Diplostephium rupestre	NC_034865
Diplostephium sagasteguii	NC_034828
Diplostephium schultzii	NC_034892
Diplostephium spinulosum	NC_034823
Diplostephium tachirense	NC_034825
Diplostephium tenuifolium	NC_034860
Diplostephium venezuelense	NC_034887
Diplostephium violaceum	NC_034817
Dipterocladia arabiensis	NC_035257
Dipteronia dyeriana	NC_031899
Dipteronia sinensis	NC_029338
Dipterosiphonia australica	NC_035288
Distichlis bajaensis	NC_029894
Distichlis spicata	NC_029895
Dorcoceras hygrometricum	NC_016468
Downingia cuspidata	NC_035359
Downingia elegans	NC_035360
Draba nemorosa	NC_009272
Dracocephalum palmatum	NC_031874
Drimys granadensis	NC_008456
Drosera erythrorhiza	NC_035241
Drosera regia	NC_035415
Drosera rotundifolia	NC_029770
Dunalia brachyacantha	NC_026906
Dunalia obovata	NC_026563
Dunalia solanacea	NC_027099
